soil_moisture,blue,green,red,red_edge,NIR
20.37,0.17401627,0.234109018,0.179873747,0.410136804,0.687375454
21.48,0.158924176,0.225422194,0.208941204,0.42573235,0.636623045
24.62,0.177298257,0.227904859,0.208085742,0.417704696,0.634070525
11.04,0.149260684,0.207852229,0.170697621,0.379877035,0.628753746
25.93,0.174735784,0.2282242,0.18445025,0.414308454,0.666025868
10.04,0.168409894,0.248702169,0.209172312,0.440537253,0.695595105
21.59,0.194042233,0.255466023,0.208380401,0.422222461,0.737716645
20.81,0.157711875,0.23909203,0.181211139,0.421498501,0.708434623
20.3,0.193065871,0.243284179,0.186677799,0.406788529,0.691352336
21.24,0.165881312,0.230396931,0.213046239,0.417689759,0.632378587
24.55,0.191467505,0.231742645,0.211592528,0.412331527,0.632848086
11.01,0.161449401,0.214410484,0.17653423,0.376409828,0.626226149
25.72,0.186685257,0.235832028,0.191480344,0.411491684,0.667780422
10.13,0.162032173,0.24694476,0.2052477,0.436530105,0.695969111
21.61,0.182870497,0.252136544,0.204611387,0.417734847,0.733354691
20.83,0.153309849,0.235480578,0.179859782,0.416694215,0.699163996
20.33,0.18583059,0.242091783,0.185242278,0.40656258,0.694966529
21.45,0.164360808,0.229337051,0.209881021,0.414318828,0.633970301
24.51,0.182755828,0.232094256,0.20998465,0.411237731,0.633975405
11.04,0.154981331,0.211701632,0.173644201,0.370984771,0.61980768
25.74,0.181748635,0.233146767,0.187984984,0.406275795,0.667020504
18.71,0.123307509,0.16337404,0.161194268,0.290764246,0.476174004
19.58,0.129696282,0.153725001,0.159538183,0.278427696,0.458660225
18.56,0.125340966,0.176804159,0.168417766,0.304283606,0.519848663
25.38,0.142195745,0.176393942,0.169716922,0.29119084,0.515767477
26.82,0.137295596,0.176153086,0.167727737,0.291533551,0.507562817
25.62,0.137938504,0.175277995,0.159785978,0.288203839,0.504364515
26.24,0.152168569,0.18745999,0.190027681,0.314894008,0.527820654
27.58,0.158579735,0.176917237,0.17701426,0.29795246,0.509048956
19.57,0.12562273,0.157143817,0.156910072,0.280842894,0.492177234
30.18,0.127619019,0.156553156,0.142769577,0.276792538,0.513998836
18.61,0.141658715,0.179640703,0.170887037,0.310390896,0.533536496
25.38,0.141112596,0.180521078,0.17349112,0.295570681,0.527756398
26.83,0.142469653,0.178666419,0.172199549,0.297104213,0.521015568
